[14-Mar-2025 00:38:43 UTC] PHP Warning:  Undefined array key "host" in /workspaces/Lab6/.wordpress/wp-includes/pluggable.php on line 1625
[14-Mar-2025 01:02:56 UTC] PHP Fatal error:  Out of memory (allocated 39845888) (tried to allocate 16384 bytes) in /workspaces/Lab6/.wordpress/wp-includes/class-wp-image-editor-gd.php on line 116
[14-Mar-2025 01:02:56 UTC] PHP Fatal error:  Out of memory (allocated 39845888) (tried to allocate 12288 bytes) in /workspaces/Lab6/.wordpress/wp-includes/functions.php on line 6893
[14-Mar-2025 01:02:56 UTC] PHP Fatal error:  Out of memory (allocated 37748736) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 70
[14-Mar-2025 01:02:58 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 70
[14-Mar-2025 01:02:58 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 70
[14-Mar-2025 01:02:58 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 70
[14-Mar-2025 01:02:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:02:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 28672 bytes) in /workspaces/Lab6/.wordpress/wp-includes/PHPMailer/PHPMailer.php on line 2263
[14-Mar-2025 01:02:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 70
[14-Mar-2025 01:02:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 57
[14-Mar-2025 01:03:09 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:03:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:03:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:04:14 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:04:17 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 14
[14-Mar-2025 01:04:24 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:04:38 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:04:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:04:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 32
[14-Mar-2025 01:25:31 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[14-Mar-2025 01:25:38 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 28
[14-Mar-2025 01:25:40 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 28
[14-Mar-2025 01:25:44 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[14-Mar-2025 01:25:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 74
[14-Mar-2025 01:25:52 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 28
[14-Mar-2025 01:26:00 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Lab6/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[21-Mar-2025 01:03:49 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /workspaces/Assignment2/.wordpress/wp-includes/user.php on line 3245
[21-Mar-2025 01:04:42 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /workspaces/Assignment2/.wordpress/wp-includes/user.php on line 3245
[21-Mar-2025 01:05:01 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /workspaces/Assignment2/.wordpress/wp-includes/user.php on line 3245
[21-Mar-2025 01:08:51 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /workspaces/Assignment2/.wordpress/wp-includes/user.php on line 3245
[21-Mar-2025 01:13:18 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /workspaces/Assignment2/.wordpress/wp-includes/user.php on line 3245
[21-Mar-2025 01:18:28 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[21-Mar-2025 01:53:30 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
